Type,Size,Time
matrixOperation,1500,0.0017924
matrixOperation,1500,0.0016473
matrixOperation,1500,0.0016364
matrixOperation,1500,0.0015112
matrixOperation,1500,0.0015726
matrixOperation,1500,0.00153
matrixOperation,1500,0.0015649
matrixOperation,1500,0.0015519
matrixOperation,1500,0.0016183
matrixOperation,1500,0.0018331
matrixOperation,2000,0.0028787
matrixOperation,2000,0.0027793
matrixOperation,2000,0.0026979
matrixOperation,2000,0.0027885
matrixOperation,2000,0.0030814
matrixOperation,2000,0.0031102
matrixOperation,2000,0.0026357
matrixOperation,2000,0.0028999
matrixOperation,2000,0.0031118
matrixOperation,2000,0.0027418
matrixOperation,2500,0.004166
matrixOperation,2500,0.0043145
matrixOperation,2500,0.0042264
matrixOperation,2500,0.0040854
matrixOperation,2500,0.004242
matrixOperation,2500,0.004149
matrixOperation,2500,0.0045962
matrixOperation,2500,0.0043307
matrixOperation,2500,0.0039397
matrixOperation,2500,0.0042243
matrixOperation,3000,0.0066205
matrixOperation,3000,0.0062089
matrixOperation,3000,0.0056859
matrixOperation,3000,0.0062739
matrixOperation,3000,0.0058427
matrixOperation,3000,0.0059876
matrixOperation,3000,0.0055765
matrixOperation,3000,0.0060554
matrixOperation,3000,0.0054583
matrixOperation,3000,0.005908
matrixOperation,3500,0.0106671
matrixOperation,3500,0.0194896
matrixOperation,3500,0.0153949
matrixOperation,3500,0.0100279
matrixOperation,3500,0.0086893
matrixOperation,3500,0.0084196
matrixOperation,3500,0.009711
matrixOperation,3500,0.0092794
matrixOperation,3500,0.0085565
matrixOperation,3500,0.0085409
matrixOperation,4000,0.0106707
matrixOperation,4000,0.0111555
matrixOperation,4000,0.0108623
matrixOperation,4000,0.0118274
matrixOperation,4000,0.0112638
matrixOperation,4000,0.0116857
matrixOperation,4000,0.011026
matrixOperation,4000,0.0102935
matrixOperation,4000,0.0097131
matrixOperation,4000,0.009668
matrixOperation,4500,0.0136928
matrixOperation,4500,0.0147912
matrixOperation,4500,0.0181692
matrixOperation,4500,0.0307245
matrixOperation,4500,0.0156884
matrixOperation,4500,0.0149032
matrixOperation,4500,0.0147117
matrixOperation,4500,0.0138585
matrixOperation,4500,0.0144308
matrixOperation,4500,0.0134898
matrixOperation,5000,0.0166866
matrixOperation,5000,0.017083
matrixOperation,5000,0.0159185
matrixOperation,5000,0.0174825
matrixOperation,5000,0.0159208
matrixOperation,5000,0.0164104
matrixOperation,5000,0.0159358
matrixOperation,5000,0.0349838
matrixOperation,5000,0.0171135
matrixOperation,5000,0.0172311
matrixOperation,5500,0.0192417
matrixOperation,5500,0.0198855
matrixOperation,5500,0.0220283
matrixOperation,5500,0.0218064
matrixOperation,5500,0.0207581
matrixOperation,5500,0.0187027
matrixOperation,5500,0.0202699
matrixOperation,5500,0.0216629
matrixOperation,5500,0.0190071
matrixOperation,5500,0.0395136
matrixOperation,6000,0.0257059
matrixOperation,6000,0.0244839
matrixOperation,6000,0.0234433
matrixOperation,6000,0.0226024
matrixOperation,6000,0.022745
matrixOperation,6000,0.0229189
matrixOperation,6000,0.0230671
matrixOperation,6000,0.0232047
matrixOperation,6000,0.0471537
matrixOperation,6000,0.0250854
